아이디,한자,구자,부수,총획,학년,추가연도,삭제연도,발음,훈음,뜻
1533,藤,,艸,18,S,2010,,トウ、ふじ,등나무 등,1.등 2.등나무
1534,闘,鬪,鬥,18,S,,,トウ、たたか-う,싸울 투,1.싸우다 2.싸움을붙이다 3.전쟁하다 4.겨루다
1535,騰,,馬,20,S,,,トウ,오를 등,1.오르다 2.올리다 3.높은곳에올라가다 4.값이오르다
1536,同,,口,6,2,,,ドウ、おな-じ,한가지 동,1.같다 2.일을같이하다 3.모이다 4.동료 5.같은
1537,洞,,水,9,S,1981,,ドウ、ほら,골 동/밝을 통,1.동굴 2.꿰뚫다 3.(나무·바위등의)구멍 4.식견으로앞을내다보다
1538,胴,,肉,10,S,,,ドウ,몸통 동,1.몸통 2.(거문고·북등의)통 3.(비행기·배등의)동체 4.동의(胴衣) 5.(검도에서)동(胴)치기
1539,動,,力,11,3,,,ドウ、うご-く、うご-かす,움직일 동,1.움직이다 2.행동하다 3.작용하다 4.바뀌다 5.'動物どうぶつ'의준말
1540,堂,,土,11,5,,,ドウ,집 당,1.높고큰집 2.신불을모신건물 3.큰건물 4.훌륭함 5.주거
1541,童,,立,12,3,,,ドウ、わらべ,아이 동,
1542,道,,辵,12,2,,,ドウ、（トウ）、みち,길 도,1.길 2.도로 3.걸어감 4.(지나는)길 5.도중
1543,働,,人,13,4,,,ドウ、はたら-く,일할 동,1.일하다 2.노동하다 3.활동하다 4.작용하다 5.활동
1544,銅,,金,14,5,,,ドウ,구리 동,1.동 2.구리
1545,導,,寸,15,5,,,ドウ、みちび-く,인도할 도,
1546,瞳,,目,17,S,2010,,ドウ、ひとみ,눈동자 동,1.눈동자 2.눈
1547,峠,,山,9,S,,,とうげ,(일본한자)고개,1.고개 2.고비 3.고갯마루 4.언덕배기
1548,匿,,匸,10,S,,,トク,숨길 닉,1.숨다 2.숨기다
1549,特,,牛,10,4,,,トク,특별할 특,1.혼자 2.특히 3.다만 4.빼어나다 5.뛰어나다
1550,得,,彳,11,5,,,トク、え-る、う-る,얻을 득,1.득 2.이득 3.유리함 4.이익 5.편리함
1551,督,,目,13,S,,,トク,감독할 독,
1552,徳,德,彳,14,4,,,トク,큰 덕,1.덕 2.덕망(德望) 3.은혜 4.덕택 5.이익
1553,篤,,竹,16,S,,,トク,도타울 독,1.두텁다 2.병이무겁다 3.열심이다
1554,毒,,毋,8,5,,,ドク,독 독,1.독 2.해로움 3.독약 4.독기 5.해독(害毒)
