아이디,한자,구자,부수,총획,학년,추가연도,삭제연도,발음,훈음,뜻
0261,患,,心,11,S,,,カン、わずら-う,근심 환,1.근심하다 2.근심 3.병 4.걱정하다 5.재난
0262,貫,,貝,11,S,,,カン、つらぬ-く,꿸 관,1.꿰다 2.습관 3.꿰뚫다 4.관철하다
0263,寒,,宀,12,3,,,カン、さむ-い,찰 한,1.춥다 2.쓸쓸한 3.얼다 4.오싹하다 5.가난하다
0264,喚,,口,12,S,,,カン,부를 환,1.외치다 2.소리쳐부르다 3.불러일으키다 4.소리치다
0265,堪,,土,12,S,,,カン、た-える,견딜 감,1.견디다 2.뛰어나다 3.참다
0266,換,,手,12,S,,,カン、か-える、か-わる,바꿀 환,1.바꾸다 2.변경하다 3.바뀌다 4.고치다
0267,敢,,攴,12,S,,,カン,감히 감,1.감히 2.감히하다 3.감행하다
0268,棺,,木,12,S,,,カン,널 관,
0269,款,,欠,12,S,,,カン,항목 관,
0270,間,,門,12,2,,,カン、ケン、あいだ、ま,사이 간,1.사이 2.(공간적인)사이 3.틈새 4.동안 5.겨를
0271,閑,,門,12,S,,,カン,한가할 한,1.고요함 2.틈 3.등한하다 4.울짱 5.고요하게
0272,勧,勸,力,13,S,,,カン、すす-める,권할 권,1.권하다 2.권장하다 3.권유해이끌다
0273,寛,寬,宀,13,S,,,カン,너그러울 관,1.공간‧기분등에여유가있는모양 2.느긋하게시간을들어행하는모양
0274,幹,,干,13,5,,,カン、みき,줄기 간,1.(나무)줄기 2.(사물의)줄거리 3.골자
0275,感,,心,13,3,,,カン,느낄 감,1.느끼다 2.감동하다 3.지각하다 4.물들다 5.마음이움직이다
0276,漢,漢,水,13,3,,,カン,한나라 한,1.은하수 2.사나이 3.중국본토 4.또는중국본토에사는민족
0277,慣,,心,14,5,,,カン、な-れる、な-らす,익숙할 관,
0278,管,,竹,14,4,,,カン、くだ,대롱 관,1.대롱 2.피리 3.붓대 4.맡아다스리다 5.사물을보는시야가좁음
0279,関,關,門,14,4,,,カン、せき、かか-わる,관계할 관,1.가로막는것 2.관문 3.칸막이
0280,歓,歡,欠,15,S,,,カン,기쁠 환,1.기뻐하다 2.마음을터놓다 3.기쁨 4.친밀
0281,監,,皿,15,S,,,カン,볼 감,
0282,緩,,糸,15,S,,,カン、ゆる-い、ゆる-やか、ゆる-む、ゆる-める,느릴 완,1.느슨하다 2.늦추다 3.완만하다 4.느슨해지다 5.느리다
0283,憾,,心,16,S,,,カン,섭섭할 감,1.원망하다 2.섭섭하게생각하다
0284,還,,辵,16,S,,,カン,돌아올 환,1.돌아오다 2.돌아가다
0285,館,館,食,16,3,,,カン、やかた,집 관,1.저택 2.객사 3.관청·학교등의건물 4.큰건물 5.여관
0286,環,,玉,17,S,,,カン,고리 환,1.고리 2.둘러싸다 3.돌다
0287,簡,,竹,18,6,,,カン,대쪽 간,1.대쪽 2.단출함 3.책 4.간단함 5.편지
0288,観,觀,見,18,4,,,カン,볼 관,1.보다 2.살펴보다 3.사물의도리·본질을깨닫다 4.보이다 5.견해
0289,韓,,韋,18,S,2010,,カン,나라 한,1.삼한(三韓) 2.조선
0290,艦,,舟,21,S,,,カン,큰 배 함,군함
0291,鑑,,金,23,S,,,カン、かんが-みる,거울 감,1.거울 2.훈계 3.살펴보다 4.모습을비추어보는것 5.본보기
0292,丸,,丶,3,2,,,ガン、まる、まる-い、まる-める,둥글 환,1.동그라미 2.(숫자의)공 3.통째로 4.성곽의내부 5.<속어>돈
0293,含,,口,7,S,,,ガン、ふく-む、ふく-める,머금을 함,1.입속에넣다 2.싸다 3.머금다 4.含羞草ねむりぐさ함수초 5.맛보다
0294,岸,,山,8,3,,,ガン、きし,언덕 안,1.물가 2.벼랑 3.둑 4.낭떠러지 5.해안
0295,岩,,山,8,2,,,ガン、いわ,바위 암,
0296,玩,,玉,8,S,2010,,ガン,희롱할 완,1.희롱하다 2.노리개로삼다 3.사랑하다 4.맛보다 5.가지고놀다
0297,眼,,目,11,5,,,ガン、（ゲン）、まなこ,눈 안,
0298,頑,,頁,13,S,1981,,ガン,완고할 완,1.완고하다 2.둔하다 3.고집이세다 4.재주가없다
0299,顔,顏,頁,18,2,,,ガン、かお,낯 안,1.얼굴 2.용모 3.표정 4.표면 5.(대표하는)얼굴
0300,願,,頁,19,4,,,ガン、ねが-う,원할 원,
0301,企,,人,6,S,,,キ、くわだ-てる,꾀할 기,1.꾀하다 2.계획
0302,伎,,人,6,S,2010,,キ,재간 기,1.솜씨 2.배우 3.기교 4.예능인
0303,危,,卩,6,6,,,キ、あぶ-ない、あや-うい、あや-ぶむ,위태할 위,1.위험하다 2.두려워하다 3.해치다 4.높다 5.바르다
0304,机,,木,6,6,,,キ、つくえ,책상 궤,책상
0305,気,氣,气,6,1,,,キ、ケ,기운 기,1.(자연의)기운 2.공기 3.숨 4.마음 5.성질
0306,岐,,山,7,4,,,キ,갈림길 기,1.갈라지다 2.갈래 3.기로
0307,希,,巾,7,4,,,キ,바랄 희,
0308,忌,,心,7,S,,,キ、い-む、い-まわしい,꺼릴 기,1.꺼리다 2.부정(不淨)을피함 3.죽은사람의제삿날 4.싫어하여피하다 5.사람이죽은뒤일정기간복상(服喪)함
0309,汽,,水,7,2,,,キ,물 끓는 김 기,1.김 2.증기
0310,奇,,大,8,S,,,キ,기특할 기,1.진기하다 2.특히뛰어나다 3.뜻밖의 4.홀수 5.이상한
0311,祈,祈,示,8,S,,,キ、いの-る,빌 기,1.기도함 2.기도
0312,季,,子,8,4,,,キ,계절 계,1.막내 2.나이어림 3.끝 4.춘하추동의각각마지막달 5.철
0313,紀,,糸,9,5,,,キ,벼리 기,1.적다 2.제왕의사적을적은것 3.근본 4.법 5.12년
0314,軌,,車,9,S,,,キ,바퀴자국 궤,1.바퀴자국 2.법 3.수레바퀴의지난자국 4.법도 5.모범
0315,既,旣,无,10,S,,,キ、すで-に,이미 기,1.이미 2.끝나다 3.다하다 4.벌써 5.이전에
0316,記,,言,10,2,,,キ、しる-す,기록할 기,1.적다 2.외다 3.문서 4.문체의하나 5.기록하다
0317,起,,走,10,3,,,キ、お-きる、お-こる、お-こす,일어날 기,1.일어나다 2.일으키다 3.일을시작하다 4.기용하다 5.시작
0318,飢,,食,10,S,,,キ、う-える,주릴 기,1.굶주리다 2.곡물이여물지않다 3.주림 4.기아
0319,鬼,,鬼,10,S,,,キ、おに,귀신 귀,1.귀신 2.도깨비 3.영령 4.악마 5.(한가지일에)미친사람
0320,帰,歸,止,10,2,,,キ、かえ-る、かえ-す,돌아갈 귀,1.돌아가다 2.따르다 3.죽다 4.시집가다 5.돌려주다
0321,基,,土,11,5,,,キ、もと、もとい,터 기,1.기초 2.터 3.시초 4.비롯하다 5.基督キリスト기독
0322,寄,,宀,11,5,,,キ、よ-る、よ-せる,부칠 기,1.의지하다 2.들르다 3.맡기다 4.부치다 5.몸을의탁하다
0323,規,,見,11,5,,,キ,법 규,1.걸음쇠 2.법 3.바루다 4.원을그리는기구 5.법규
0324,亀,龜,龜,11,S,2010,,キ、かめ,거북 귀/ 터질 균,1.거북 2.<속어>술고래 3.모주꾼
0325,喜,,口,12,5,,,キ、よろこ-ぶ,기쁠 희,1.기뻐하다 2.좋다 3.기쁨 4.경사롭다
0326,幾,,幺,12,S,,,キ、いく,몇 기,1.수량‧정도를알수없다는의미를나타낸다 2.수가많다는의미를나타낸다
0327,揮,,手,12,6,,,キ,휘두를 휘,1.휘두르다 2.떨쳐나타내다 3.서화를그리다 4.흩뿌리다 5.지시하는깃발을흔들다
0328,期,,月,12,3,,,キ、（ゴ）,기약할 기,1.시일을정하다 2.약속에따라만나다 3.약속하다 4.기다리다 5.기한
0329,棋,,木,12,S,,,キ,바둑 기,1.장기의말 2.장기를(바둑을)두다 3.바둑돌
0330,貴,,貝,12,6,,,キ、たっと-い、とうと-い、たっと-ぶ、とうと-ぶ,귀할 귀,1.값이비싸다 2.소중하다 3.신분이높다 4.귀히여기다 5.중요하다
0331,棄,,木,13,S,,,キ,버릴 기,
0332,毀,,殳,13,S,2010,,キ,헐 훼,
0333,旗,,方,14,4,,,キ、はた,기 기,1.기 2.깃발
0334,器,器,口,15,4,,,キ、うつわ,그릇 기,1.그릇 2.능력 3.도량 4.용기 5.재능
0335,畿,,田,15,S,2010,,キ,경기 기,1.수도에인접한제왕직할지역(帝王直轄地域;ていおうちょっかつちいき) 2.수도에서사방500리(里)이내의땅
0336,輝,,車,15,S,,,キ、かがや-く,빛날 휘,1.빛나다 2.광채를발하다
0337,機,,木,16,4,,,キ、はた,베틀 기,1.베틀 2.틀 3.때 4.작용 5.기틀
0338,騎,,馬,18,S,,,キ,말탈 기,1.말을타다 2.기병 3.말탄군사
0339,技,,手,7,5,,,ギ、わざ,재주 기,1.기술 2.(相撲すもう·유도등에서)수 3.방법 4.솜씨 5.수단
0340,宜,,宀,8,S,,,ギ,마땅 의,1.<고어>과연 2.정말
0341,偽,僞,人,11,S,,,ギ、いつわ-る、にせ,거짓 위,
0342,欺,,欠,12,S,,,ギ、あざむ-く,속일 기,1.기만하다 2.속이다
0343,義,,羊,13,5,,,ギ,옳을 의,1.옳다 2.정의나공공을위해일함 3.의미 4.혈족이아닌자가온정·의리등으로맺어지는친족관계 5.임시
0344,疑,,疋,14,6,,,ギ、うたが-う,의심할 의,1.의심하다 2.의심스럽다 3.진짜와유사하다 4.의심 5.미심쩍다
0345,儀,,人,15,S,,,ギ,거동 의,
0346,戯,戲,戈,15,S,,,ギ、たわむ-れる,놀이 희,1.재미있게놀다 2.희롱하다 3.연기 4.연극
0347,擬,,手,17,S,,,ギ,비길 의,1.본뜨다 2.헷갈리다 3.비유하다 4.견주다 5.흉내내다
0348,犠,犧,牛,17,S,,,ギ,희생할 희,1.희생 2.제물
0349,議,,言,20,4,,,ギ,의논할 의,1.의논하다 2.여러모로생각하다 3.논하다 4.의견 5.비방하다
0350,菊,,艸,11,S,,,キク,국화 국,1.국화 2.가문(家紋)·문장의이름(16꽃잎의국화무늬는일본황실의문장) 3.책모양의크기
0351,吉,,口,6,S,,,キチ、キツ,길할 길,1.행복 2.경사스럽다 3.훌륭한
0352,喫,,口,12,S,,,キツ,먹을 끽,1.먹다 2.마시다 3.몸에받다
0353,詰,,言,13,S,,,キツ、つ-める、つ-まる、つ-む,꾸짖을 힐,1.캐묻다 2.막히다 3.따져묻다 4.구부정하다 5.문책하다
0354,却,,卩,7,S,,,キャク,물리칠 각,1.물리치다 2.없애다 3.물러나다 4.한문에서動詞에붙이는조어(助語) 5.도리어
0355,客,,宀,9,3,,,キャク、カク,손 객,1.(방문)객 2.(돈을치루는)손님 3.손님 4.고객
0356,脚,,肉,11,S,,,キャク、（キャ）、あし,다리 각,
0357,逆,,辵,9,5,,,ギャク、さか、さか-らう,거스를 역,1.역 2.'逆手ぎゃくて'의준말 3.(수학·논리학의)역 4.반대 5.거꾸로됨
0358,虐,,虍,9,S,,,ギャク、しいた-げる,모질 학,1.학대하다 2.가혹하게다루다 3.상처내다
0359,九,,乙,2,1,,,キュウ、ク、ここの、ここの-つ,아홉 구,1.아홉 2.많다 3.모으다 4.양수(陽數)의최대
0360,久,,丿,3,5,,,キュウ、（ク）、ひさ-しい,오랠 구,1.오래간만 2.오랫동안시간이경과함
0361,及,,又,3,S,,,キュウ、およ-ぶ、およ-び、およ-ぼす,미칠 급,
0362,弓,,弓,3,2,,,キュウ、ゆみ,활 궁,1.활 2.궁술 3.(관현악기의)활
0363,丘,,一,5,S,,,キュウ、おか,언덕 구,
0364,旧,舊,臼,5,5,,,キュウ,예 구,
0365,休,,人,6,1,,,キュウ、やす-む、やす-まる、やす-める,쉴 휴,1.쉬다 2.그만두다 3.결석하다 4.중지하다 5.휴식
0366,吸,,口,6,6,,,キュウ、す-う,마실 흡,1.숨을들이쉬다 2.빨아들이다 3.달라붙다
0367,朽,,木,6,S,,,キュウ、く-ちる,썩을 후,
0368,臼,,臼,6,S,2010,,キュウ、うす,절구 구,
0369,求,,水,7,4,,,キュウ、もと-める,구할 구,1.구하다 2.(남에게)바라다 3.욕심내다
0370,究,,穴,7,3,,,キュウ、きわ-める,연구할 구,1.끝까지밝히다 2.구명하다 3.끝
0371,泣,,水,8,4,,,キュウ、な-く,울 읍,1.눈물 2.울다 3.눈물을흘리며울다
0372,急,,心,9,3,,,キュウ、いそ-ぐ,급할 급,1.긴급 2.갑작스러움 3.가파름 4.(물살이)빠름 5.성급함
0373,級,,糸,9,3,,,キュウ,등급 급,1.순서 2.계단 3.학급 4.(전쟁에서)자른적의목 5.단계
0374,糾,,糸,9,S,,,キュウ,규탄할 규,1.(새끼를)꼬다 2.합치다 3.뒤얽히다 4.바로잡다 5.모으다
0375,宮,,宀,10,3,,,キュウ、グウ、（ク）、みや,집 궁,1.궁 2.황족에대한높임말 3.궁궐
0376,救,,攴,11,5,,,キュウ、すく-う,구원할 구,1.돕다 2.구조하다
0377,球,,玉,11,3,,,キュウ、たま,공 구,
0378,給,,糸,12,4,,,キュウ,줄 급,1.윗사람이아랫사람에게주다 2.주다 3.수당 4.충분하게하다 5.시중들다
0379,嗅,,口,13,S,2010,,キュウ、か-ぐ,맡을 후,냄새맡다
0380,窮,,穴,15,S,,,キュウ、きわ-める、きわ-まる,다할/ 궁할 궁,1.밝혀내다 2.끝 3.궁하다 4.가난하다
0381,牛,,牛,4,2,,,ギュウ、うし,소 우,소
0382,去,,厶,5,3,,,キョ、コ、さ-る,갈 거,1.지나다 2.떠나가다 3.죽다 4.제거하다 5.멀리하다
0383,巨,,工,5,S,,,キョ,클 거,
0384,居,,尸,8,5,,,キョ、い-る,살 거,1.있다 2.거처 3.일상 4.살다 5.앉다
0385,拒,,手,8,S,,,キョ、こば-む,막을 거,1.막다 2.거부하다 3.방어하다 4.거절하다
0386,拠,據,手,8,S,,,キョ、コ,근거 거,1.의지하다 2.의지할곳 3.들어박히다
0387,挙,擧,手,10,4,,,キョ、あ-げる、あ-がる,들 거,1.들어올리다 2.행하다 3.거동 4.기용하다 5.잡다
0388,虚,虛,虍,11,S,,,キョ、（コ）,빌 허,1.허 2.허울뿐임 3.틈 4.약점
0389,許,,言,11,5,,,キョ、ゆる-す,허락할 허,
0390,距,,足,12,S,,,キョ,떨어질 거,1.(공간적으로)떨어지다 2.막다
0391,魚,,魚,11,2,,,ギョ、うお、さかな,물고기 어,1.물고기 2.생선
0392,御,,彳,12,S,,,ギョ、ゴ、おん,거느릴 어,⇒ぎょ(참조어)
0393,漁,,水,14,4,,,ギョ、リョウ,고기 잡을 어,고기잡이
0394,凶,,凵,4,S,,,キョウ,흉할 흉,1.흉하다 2.흉년들다 3.흉악하다 4.난폭하다 5.불길
0395,共,,八,6,4,,,キョウ、とも,한가지 공,1.함께함 2.(다른명사에붙어) 3.동시 4.동일 5.전부
0396,叫,,口,6,S,,,キョウ、さけ-ぶ,부르짖을 규,1.큰소리를지르다 2.큰소리로울다
0397,狂,,犬,7,S,,,キョウ、くる-う、くる-おしい,미칠 광,1.미치다 2.비정상적임 3.기세가대단함 4.한가지일에열중함 5.익살
0398,京,,亠,8,2,,,キョウ、ケイ,서울 경,1.서울 2.'京都きょうと'의준말 3.'東京とうきょう'의준말
0399,享,,亠,8,S,,,キョウ,누릴 향,1.바치다 2.공물을받다 3.권하다
0400,供,,人,8,6,,,キョウ、（ク）、そな-える、とも,이바지할 공,수행원
0401,協,,十,8,4,,,キョウ,화합할 협,1.힘을합치다 2.화합하다 3.(의견이)일치하다
0402,況,,水,8,S,,,キョウ,상황 황,1.상황 2.비교하다 3.하물며 4.형편
0403,峡,峽,山,9,S,,,キョウ,골짜기 협,1.골짜기 2.좁은수로
0404,挟,挾,手,9,S,1981,,キョウ、はさ-む、はさ-まる,낄 협,1.끼우다 2.믿다 3.의지하다
0405,狭,狹,犬,9,S,,,キョウ、せま-い、せば-める、せば-まる,좁을 협,좁다
0406,恐,,心,10,S,,,キョウ、おそ-れる、おそ-ろしい,두려울 공,1.무서워하다 2.황송해하다 3.으르다 4.아마 5.무섭다
0407,恭,,心,10,S,,,キョウ、うやうや-しい,공손할 공,1.공경하다 2.공손하다 3.우러르다
0408,胸,,肉,10,6,,,キョウ、むね、（むな）,가슴 흉,1.가슴 2.(사람의)가슴 3.폐(肺) 4.심장(心臟) 5.(옷의)가슴부위
0409,脅,,肉,10,S,,,キョウ、おびや-かす、おど-す、おど-かす,위협할 협,1.옆구리 2.위협하다 3.으르다
0410,強,,弓,11,2,,,キョウ、ゴウ、つよ-い、つよ-まる、つよ-める、し-いる,강할 강,1.강하다 2.세차다 3.단단하다 4.튼튼함 5.강하게하다
0411,教,敎,攴,11,2,,,キョウ、おし-える、おそ-わる,가르칠 교,1.가르치다 2.(신앙등의)가르침 3.종교의일파 4.가르침
0412,郷,鄕,邑,11,6,,,キョウ、ゴウ,시골 향,1.옛날의지방행정구역의하나.郡こおり안의村むら를몇개합친것 2.시골 3.지방
0413,境,,土,14,5,,,キョウ、（ケイ）、さかい,지경 경,
0414,橋,,木,16,3,,,キョウ、はし,다리 교,1.다리 2.교량 3.중개 4.매개
0415,矯,,矢,17,S,1981,,キョウ、た-める,바로잡을 교,1.바로잡다 2.강하다 3.(굽은것을)바로잡다 4.과격하다 5.바르게하다
0416,鏡,,金,19,4,,,キョウ、かがみ,거울 경,
0417,競,,立,20,4,,,キョウ、ケイ、きそ-う、せ-る,다툴 경,1.경쟁하다 2.서로다투다 3.겨루다
0418,響,響,音,20,S,,,キョウ、ひび-く,울릴 향,1.울려퍼지다 2.미치다 3.'交響楽団こうきょうがくだん교향악단'의준말 4.메아리치다 5.소문이퍼지다
0419,驚,,馬,22,S,,,キョウ、おどろ-く、おどろ-かす,놀랄 경,1.놀라다 2.놀래다
0420,仰,,人,6,S,,,ギョウ、（コウ）、あお-ぐ、おお-せ,우러를 앙,1.우러러보다 2.숭상하다 3.위를보다
0421,暁,曉,日,12,S,,,ギョウ、あかつき,새벽 효,1.새벽 2.(어떤일이실현되는)날 3.새벽녘 4.그때
0422,業,,木,13,3,,,ギョウ、ゴウ、わざ,업 업,1.학문 2.일 3.생업 4.행위 5.사업
0423,凝,,冫,16,S,,,ギョウ、こ-る、こ-らす,엉길 응,1.엉기다 2.꼼짝아니하다 3.(한곳에)집중하다
0424,曲,,曰,6,3,,,キョク、ま-がる、ま-げる,굽을 곡,1.구부러진 2.굽힘 3.상세하다 4.어려운재주 5.(음악의)마디
0425,局,,尸,7,3,,,キョク,판 국,1.구획하다 2.조직의국 3.바둑·장기의국 4.사태 5.구획된방
0426,極,,木,12,4,,,キョク、ゴク、きわ-める、きわ-まる、きわ-み,다할 극,1.극 2.극도 3.끝 4.(지구의)극 5.나머지
0427,玉,,玉,5,1,,,ギョク、たま,구슬 옥,
0428,巾,,巾,3,S,2010,,キン,수건 건,
0429,斤,,斤,4,S,,,キン,근 근,
0430,均,,土,7,5,,,キン,고를 균,1.땅을평평하게하다 2.평등하다 3.고르다 4.차가없다
0431,近,,辵,7,2,,,キン、ちか-い,가까울 근,1.가깝다 2.요즘 3.가까워지다
0432,金,,金,8,1,,,キン、コン、かね、（かな）,쇠 금,1.쇠 2.돈 3.금속 4.금전
0433,菌,,艸,11,S,,,キン,버섯 균,1.버섯 2.세균 3.곰팡이
0434,勤,勤,力,12,6,,,キン、（ゴン）、つと-める、つと-まる,부지런할 근,1.힘을내어(열심히)일하다 2.근무하다 3.종사하다
0435,琴,,玉,12,S,,,キン、こと,거문고 금,1.거문고 2.원래 3.琴きん·箏そう·琵琶びわ등의총칭
0436,筋,,竹,12,6,,,キン、すじ,힘줄 근,1.선 2.줄 3.줄거리 4.조리 5.힘줄
0437,僅,,人,13,S,2010,,キン、わず-か,겨우 근,1.약간 2.조금 3.겨우
0438,禁,,示,13,5,,,キン,금할 금,1.금하다 2.금지하는말 3.가두다 4.출입을금한곳 5.꺼려피하다
0439,緊,,糸,15,S,,,キン,긴할 긴,1.세게죄다 2.시급하다 3.중요함
0440,錦,,金,16,S,2010,,キン、にしき,비단 금,1.(금은색실로짠)고급비단 2.아름답고훌륭한것
0441,謹,謹,言,17,S,,,キン、つつし-む,삼갈 근,1.삼가다 2.정성을들이다
0442,襟,,衣,18,S,1981,,キン、えり,옷깃 금,
0443,吟,,口,7,S,,,ギン,읊을 음,1.읊다 2.시가(詩歌)를짓다 3.신음하다 4.읊조리다 5.시가
0444,銀,,金,14,3,,,ギン,은 은,1.은 2.은빛 3.돈 4.'銀行ぎんこう'의준말 5.금전
0445,区,區,匸,4,3,,,ク,구분할 구,1.나누다 2.나눈부분·범위 3.대도시의행정단위 4.가지각색 5.경계를짓다
0446,句,,口,5,5,,,ク,글귀 구,1.글귀 2.시가(詩歌)의마디 3.連歌れんが·俳諧はいかい의단위 4.구절
0447,苦,,艸,8,3,,,ク、くる-しい、くる-しむ、くる-しめる、にが-い、にが-る,쓸 고,1.쓰다 2.괴롭다 3.애쓰다 4.고뇌 5.괴로워하다
0448,駆,驅,馬,14,S,,,ク、か-ける、か-る,몰 구,1.뛰다 2.(말을)몰다 3.쫓다 4.(말을타고)달리다
0449,具,,八,8,3,,,グ,갖출 구,1.갖추다 2.자세히 3.그릇 4.갖춰지다 5.구체적으로
0450,惧,,心,11,S,2010,,グ,두려워할 구,
0451,愚,,心,13,S,,,グ、おろ-か,어리석을 우,1.바보 2.우롱하다 3.자기에대한낮춤말 4.어리석음 5.미련함
0452,空,,穴,8,1,,,クウ、そら、あ-く、あ-ける、から,빌 공,
0453,偶,,人,11,S,,,グウ,짝 우,1.쌍을이루다 2.배우자 3.둘로나누어떨어지다 4.인형 5.때때로
0454,遇,,辵,12,S,,,グウ,만날 우,1.마주치다 2.좋은기회를만나다 3.대접하다 4.뜻밖에마주치다
0455,隅,,阜,12,S,1981,,グウ、すみ,모퉁이 우,
0456,串,,丨,7,S,2010,,くし,꿸 관,
